ccaa,fecha,cases_under50,cases_50to59,cases_60to69,cases_70to79,cases_above80,deaths_under50,deaths_50to59,deaths_60to69,deaths_70to79,deaths_above80,hosp_under50,hosp_50to59,hosp_60to69,hosp_70to79,hosp_above80,uci_under50,uci_50to59,uci_60to69,uci_70to79,uci_above80
"Extremadura","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0
"Galicia","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Ceuta","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Rioja","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0
"Melilla","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarra","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"no_ccaa","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-07T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilla-La Mancha","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilla y León","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cataluña","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Extremadura","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Galicia","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceuta","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Rioja","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"Melilla","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarra","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-08T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilla-La Mancha","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Castilla y León","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cataluña","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Extremadura","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galicia","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceuta","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Rioja","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"Melilla","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarra","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-02-09T00:00:00.000Z",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-09T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilla-La Mancha","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Castilla y León","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cataluña","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
"Extremadura","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galicia","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceuta","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"La Rioja","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0
"Melilla","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarra","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Baleares","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-10T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Castilla-La Mancha","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Castilla y León","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cataluña","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0
"Extremadura","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Galicia","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceuta","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Rioja","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,1,0
"Melilla","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Navarra","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-11T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilla-La Mancha","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Castilla y León","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cataluña","2020-02-12T00:00:00.000Z",1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0
"Extremadura","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galicia","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceuta","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Rioja","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-12T00:00:00.000Z",0,1,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0
"Melilla","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Navarra","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-12T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"Castilla-La Mancha","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Castilla y León","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cataluña","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
"Extremadura","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galicia","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceuta","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Rioja","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Madrid","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0,0,0,0,0
"Melilla","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Navarra","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-13T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Castilla-La Mancha","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
"Castilla y León","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cataluña","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Extremadura","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galicia","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ceuta","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Rioja","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0
"Melilla","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Navarra","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-14T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Castilla-La Mancha","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"Castilla y León","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cataluña","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
"Extremadura","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galicia","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceuta","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"La Rioja","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0
"Melilla","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarra","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-15T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilla-La Mancha","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilla y León","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cataluña","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
"Extremadura","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"País Vasco","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galicia","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceuta","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0
"Aragón","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"La Rioja","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Melilla","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarra","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"no_ccaa","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-16T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Castilla-La Mancha","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilla y León","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cataluña","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0
"Extremadura","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
"Galicia","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ceuta","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Aragón","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Rioja","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,1,1,0,1,0
"Melilla","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarra","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Baleares","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantabria","2020-02-17T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Com. Valenciana","2020-02-18T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
